RLINEv1_2   
SOURCE FILE: IF2009_Source_INF.txt (1 Sources)
RECEPTOR FILE: IF2009_Receptors_INF.txt (7 Receptors)
SURFACE FILE: IF2009_Case1235.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_IF,
    9,    5,    1,       18.000,        0.000,        1.500,   0.208684E+06, 
    9,    5,    1,       36.000,        0.000,        1.500,   0.154146E+06, 
    9,    5,    1,       48.000,        0.000,        1.500,   0.137704E+06, 
    9,    5,    1,       66.000,        0.000,        1.500,   0.119874E+06, 
    9,    5,    1,       90.000,        0.000,        1.500,   0.102662E+06, 
    9,    5,    1,      120.000,        0.000,        1.500,   0.875490E+05, 
    9,    5,    1,      180.000,        0.000,        1.500,   0.685940E+05, 
    9,    5,    2,       18.000,        0.000,        1.500,   0.265444E+06, 
    9,    5,    2,       36.000,        0.000,        1.500,   0.195826E+06, 
    9,    5,    2,       48.000,        0.000,        1.500,   0.175815E+06, 
    9,    5,    2,       66.000,        0.000,        1.500,   0.156063E+06, 
    9,    5,    2,       90.000,        0.000,        1.500,   0.137012E+06, 
    9,    5,    2,      120.000,        0.000,        1.500,   0.119376E+06, 
    9,    5,    2,      180.000,        0.000,        1.500,   0.962857E+05, 
    9,    5,    3,       18.000,        0.000,        1.500,   0.307527E+06, 
    9,    5,    3,       36.000,        0.000,        1.500,   0.231673E+06, 
    9,    5,    3,       48.000,        0.000,        1.500,   0.207943E+06, 
    9,    5,    3,       66.000,        0.000,        1.500,   0.186360E+06, 
    9,    5,    3,       90.000,        0.000,        1.500,   0.166912E+06, 
    9,    5,    3,      120.000,        0.000,        1.500,   0.148853E+06, 
    9,    5,    3,      180.000,        0.000,        1.500,   0.123666E+06, 
    9,    5,    4,       18.000,        0.000,        1.500,   0.318272E+06, 
    9,    5,    4,       36.000,        0.000,        1.500,   0.236958E+06, 
    9,    5,    4,       48.000,        0.000,        1.500,   0.212883E+06, 
    9,    5,    4,       66.000,        0.000,        1.500,   0.189911E+06, 
    9,    5,    4,       90.000,        0.000,        1.500,   0.168486E+06, 
    9,    5,    4,      120.000,        0.000,        1.500,   0.148884E+06, 
    9,    5,    4,      180.000,        0.000,        1.500,   0.122747E+06, 
    9,    5,    5,       18.000,        0.000,        1.500,   0.350801E+06, 
    9,    5,    5,       36.000,        0.000,        1.500,   0.297243E+06, 
    9,    5,    5,       48.000,        0.000,        1.500,   0.260395E+06, 
    9,    5,    5,       66.000,        0.000,        1.500,   0.227454E+06, 
    9,    5,    5,       90.000,        0.000,        1.500,   0.202343E+06, 
    9,    5,    5,      120.000,        0.000,        1.500,   0.181291E+06, 
    9,    5,    5,      180.000,        0.000,        1.500,   0.151555E+06, 
    9,    5,    9,       18.000,        0.000,        1.500,   0.277406E+06, 
    9,    5,    9,       36.000,        0.000,        1.500,   0.201675E+06, 
    9,    5,    9,       48.000,        0.000,        1.500,   0.178440E+06, 
    9,    5,    9,       66.000,        0.000,        1.500,   0.157182E+06, 
    9,    5,    9,       90.000,        0.000,        1.500,   0.137511E+06, 
    9,    5,    9,      120.000,        0.000,        1.500,   0.119362E+06, 
    9,    5,    9,      180.000,        0.000,        1.500,   0.949911E+05, 
    9,    5,   10,       18.000,        0.000,        1.500,   0.323968E+06, 
    9,    5,   10,       36.000,        0.000,        1.500,   0.333288E+06, 
    9,    5,   10,       48.000,        0.000,        1.500,   0.298826E+06, 
    9,    5,   10,       66.000,        0.000,        1.500,   0.258742E+06, 
    9,    5,   10,       90.000,        0.000,        1.500,   0.226415E+06, 
    9,    5,   10,      120.000,        0.000,        1.500,   0.202633E+06, 
    9,    5,   10,      180.000,        0.000,        1.500,   0.174082E+06, 
